State,Municipal
AC,Assis Brasil
AC,Brasiléia
AC,Epitaciolândia
AC,Xapuri
AC,Acrelândia
AC,Bujari
AC,Capixaba
AC,Plácido de Castro
AC,Porto Acre
AC,Senador Guiomard
AC,Manoel Urbano
AC,Santa Rosa do Purus
AC,Sena Madureira
AC,Cruzeiro do Sul
AC,Mâncio Lima
AC,Marechal Thaumaturgo
AC,Porto Walter
AC,Rodrigues Alves
AC,Feijó
AC,Jordão
AC,Tarauacá
AL,Arapiraca
AL,Campo Grande
AL,Coité do Nóia
AL,Craíbas
AL,Feira Grande
AL,Girau do Ponciano
AL,Lagoa da Canoa
AL,Limoeiro de Anadia
AL,São Sebastião
AL,Taquarana
AL,Belém
AL,Cacimbinhas
AL,Estrela de Alagoas
AL,Igaci
AL,Mar Vermelho
AL,Maribondo
AL,Minador do Negrão
AL,Palmeira dos Índios
AL,Paulo Jacinto
AL,Quebrangulo
AL,Tanque d'Arca
AL,Olho d'Água Grande
AL,São Brás
AL,Traipu
AL,Japaratinga
AL,Maragogi
AL,Passo de Camaragibe
AL,Porto de Pedras
AL,São Miguel dos Milagres
AL,Barra de Santo Antônio
AL,Barra de São Miguel
AL,Coqueiro Seco
AL,Maceió
AL,Marechal Deodoro
AL,Paripueira
AL,Pilar
AL,Rio Largo
AL,Santa Luzia do Norte
AL,Satuba
AL,Atalaia
AL,Branquinha
AL,Cajueiro
AL,Campestre
AL,Capela
AL,Colônia Leopoldina
AL,Flexeiras
AL,Jacuípe
AL,Joaquim Gomes
AL,Jundiá
AL,Matriz de Camaragibe
AL,Messias
AL,Murici
AL,Novo Lino
AL,Porto Calvo
AL,São Luís do Quitunde
AL,Feliz Deserto
AL,Igreja Nova
AL,Penedo
AL,Piaçabuçu
AL,Porto Real do Colégio
AL,Anadia
AL,Boca da Mata
AL,Campo Alegre
AL,Coruripe
AL,Jequiá da Praia
AL,Junqueiro
AL,Roteiro
AL,São Miguel dos Campos
AL,Teotônio Vilela
AL,Chã Preta
AL,Ibateguara
AL,Pindoba
AL,Santana do Mundaú
AL,São José da Laje
AL,União dos Palmares
AL,Viçosa
AL,Delmiro Gouveia
AL,Olho d'Água do Casado
AL,Piranhas
AL,Batalha
AL,Belo Monte
AL,Jacaré dos Homens
AL,Jaramataia
AL,Major Isidoro
AL,Monteirópolis
AL,Olho d'Água das Flores
AL,Olivença
AL,Carneiros
AL,Dois Riachos
AL,Maravilha
AL,Ouro Branco
AL,Palestina
AL,Pão de Açúcar
AL,Poço das Trincheiras
AL,Santana do Ipanema
AL,São José da Tapera
AL,Senador Rui Palmeira
AL,Água Branca
AL,Canapi
AL,Inhapi
AL,Mata Grande
AL,Pariconha
AP,Amapá
AP,Pracuúba
AP,Tartarugalzinho
AP,Calçoene
AP,Oiapoque
AP,Cutias
AP,Ferreira Gomes
AP,Itaubal
AP,Macapá
AP,Pedra Branca do Amapari
AP,Porto Grande
AP,Santana
AP,Serra do Navio
AP,Laranjal do Jari
AP,Mazagão
AP,Vitória do Jari
AM,Anamã
AM,Anori
AM,Beruri
AM,Caapiranga
AM,Coari
AM,Codajás
AM,Itacoatiara
AM,Itapiranga
AM,Nova Olinda do Norte
AM,Silves
AM,Urucurituba
AM,Autazes
AM,Careiro
AM,Careiro da Várzea
AM,Iranduba
AM,Manacapuru
AM,Manaquiri
AM,Barreirinha
